"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.724465051E2,5.233445239E1,4.864162228E0,2.654031754E0,-1.000000000E0,-1.000000000E0,4.136534736E1,4.136534736E1
3.784673480E2,5.233412755E1,4.864216535E0,2.640015721E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.790547531E2,5.233447498E1,4.864159170E0,2.667435288E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.850673951E2,5.233414019E1,4.864214057E0,2.692940474E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.856459020E2,5.233439555E1,4.864166587E0,2.649819493E0,-1.000000000E0,-1.000000000E0,4.174227688E1,4.174227688E1
3.964878831E2,5.233438180E1,4.864168703E0,2.650239110E0,-1.000000000E0,-1.000000000E0,5.465625576E1,5.465625576E1
3.964942471E2,5.233438180E1,4.864168703E0,2.650239110E0,-1.000000000E0,-1.000000000E0,5.465631037E1,5.465631037E1
3.971731040E2,5.233420910E1,4.864200650E0,2.341925383E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
3.975752491E2,5.233444988E1,4.864155917E0,2.424182534E0,-1.000000000E0,-1.000000000E0,4.128131281E1,4.128131281E1
4.036733950E2,5.233418475E1,4.864205109E0,2.501763463E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.040944561E2,5.233441821E1,4.864160325E0,2.546209455E0,-1.000000000E0,-1.000000000E0,4.111928923E1,4.111928923E1
4.101083790E2,5.233416057E1,4.864209101E0,2.583977342E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.105270400E2,5.233444983E1,4.864155675E0,2.637090564E0,-1.000000000E0,-1.000000000E0,4.108193938E1,4.108193938E1
4.165973220E2,5.233416916E1,4.864208080E0,2.690428257E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.170125910E2,5.233439608E1,4.864166344E0,2.707949519E0,-1.000000000E0,-1.000000000E0,4.106817598E1,4.106817598E1
4.231029490E2,5.233414544E1,4.864212704E0,2.724802732E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.235949371E2,5.233445717E1,4.864155786E0,2.723615289E0,-1.000000000E0,-1.000000000E0,4.108877424E1,4.108877424E1
4.276263860E2,5.233462896E1,4.864124566E0,2.737857580E0,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
4.367998561E2,5.233469946E1,4.864108765E0,2.779180169E0,-1.000000000E0,-1.000000000E0,5.200000000E1,5.200000000E1
4.421742270E2,5.233430440E1,4.864182361E0,2.380396962E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.425830630E2,5.233442730E1,4.864159253E0,2.516976595E0,-1.000000000E0,-1.000000000E0,4.106070401E1,4.106070401E1
4.473914371E2,5.233453286E1,4.864141861E0,2.659627557E0,-1.000000000E0,-1.000000000E0,4.911953165E1,4.911953165E1
4.540842171E2,5.233465171E1,4.864116965E0,2.742096543E0,-1.000000000E0,-1.000000000E0,5.200000000E1,5.200000000E1
4.591726511E2,5.233429478E1,4.864184016E0,2.374724388E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.597257470E2,5.233442162E1,4.864156808E0,2.613458991E0,-1.000000000E0,-1.000000000E0,4.112006483E1,4.112006483E1
4.635426461E2,5.233449441E1,4.864140531E0,2.806710601E0,-1.000000000E0,-1.000000000E0,4.668828283E1,4.668828283E1
4.687968600E2,5.233423907E1,4.864192153E0,2.920803308E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.748201001E2,5.233412245E1,4.864215848E0,2.990958333E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.753102261E2,5.233429640E1,4.864175142E0,2.866902113E0,-1.000000000E0,-1.000000000E0,4.108785193E1,4.108785193E1
4.814069990E2,5.233414812E1,4.864208767E0,2.758761644E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.818835710E2,5.233432915E1,4.864171759E0,2.703023076E0,-1.000000000E0,-1.000000000E0,4.108055281E1,4.108055281E1
4.879640191E2,5.233415866E1,4.864208492E0,2.654935837E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
4.935409200E2,5.233406277E1,4.864226996E0,2.654912949E0,-1.000000000E0,-1.000000000E0,5.117323549E1,5.117323549E1
4.972869951E2,5.233418127E1,4.864218145E0,2.654684067E0,-1.000000000E0,-1.000000000E0,5.580633321E1,5.580633321E1
5.018089250E2,5.233437448E1,4.864171838E0,2.654668808E0,-1.000000000E0,-1.000000000E0,6.241128217E1,6.241128217E1
5.040562221E2,5.233468524E1,4.864096986E0,2.654729843E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.040827800E2,5.233471946E1,4.864088676E0,2.654729843E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.093550251E2,5.233474547E1,4.864082686E0,2.654729843E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.097672710E2,5.233475341E1,4.864086829E0,2.310239077E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.158666511E2,5.233439201E1,4.864161049E0,2.132884264E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
5.164147280E2,5.233450479E1,4.864198453E0,2.074542761E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.225177411E2,5.233416570E1,4.864221288E0,2.012436867E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
5.229309831E2,5.233443087E1,4.864240879E0,2.367395520E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.273835760E2,5.233453436E1,4.864272076E0,2.359939098E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.401155961E2,5.233460184E1,4.864157246E0,2.524038672E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.421722010E2,5.233464170E1,4.864152162E0,2.381968260E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.539672700E2,5.233453318E1,4.864254741E0,3.275668383E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.689851930E2,5.233453110E1,4.864256589E0,3.559803247E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
5.759729121E2,5.233435530E1,4.864240419E0,3.673475236E0,-1.000000000E0,-1.000000000E0,3.500003511E1,3.500003511E1
5.910108501E2,5.233425361E1,4.864231065E0,3.736638576E0,-1.000000000E0,-1.000000000E0,3.500020123E1,3.500020123E1
6.060249001E2,5.233419479E1,4.864225655E0,3.776867270E0,-1.000000000E0,-1.000000000E0,3.500037376E1,3.500037376E1
6.211247901E2,5.233416076E1,4.864222525E0,3.804733366E0,-1.000000000E0,-1.000000000E0,3.500055521E1,3.500055521E1
6.362248371E2,5.233414108E1,4.864220714E0,3.825176567E0,-1.000000000E0,-1.000000000E0,3.500074351E1,3.500074351E1
6.512620751E2,5.233412969E1,4.864219667E0,3.840814263E0,-1.000000000E0,-1.000000000E0,3.500093693E1,3.500093693E1
6.663573700E2,5.233412310E1,4.864219061E0,3.853162661E0,-1.000000000E0,-1.000000000E0,3.500113849E1,3.500113849E1
6.814255410E2,5.233411929E1,4.864218711E0,3.863160849E0,-1.000000000E0,-1.000000000E0,3.500134585E1,3.500134585E1
6.937912420E2,5.233411929E1,4.864218710E0,3.864259481E0,-1.000000000E0,-1.000000000E0,3.500148963E1,3.500148963E1
6.937932870E2,5.233411929E1,4.864218710E0,3.864259481E0,-1.000000000E0,-1.000000000E0,3.500148963E1,3.500148963E1
6.939424040E2,5.233411929E1,4.864218710E0,3.864259481E0,-1.000000000E0,-1.000000000E0,3.500148965E1,3.500148965E1
6.939527451E2,5.233411929E1,4.864218710E0,3.864259481E0,-1.000000000E0,-1.000000000E0,3.500148965E1,3.500148965E1
6.964808481E2,5.233411709E1,4.864218508E0,3.871421382E0,-1.000000000E0,-1.000000000E0,3.500149578E1,3.500149578E1
7.115189691E2,5.233411581E1,4.864218391E0,3.878361151E0,-1.000000000E0,-1.000000000E0,3.500171500E1,3.500171500E1
7.265906490E2,5.233411508E1,4.864218323E0,3.884273469E0,-1.000000000E0,-1.000000000E0,3.500194143E1,3.500194143E1
7.415913560E2,5.233411465E1,4.864218283E0,3.889370799E0,-1.000000000E0,-1.000000000E0,3.500217181E1,3.500217181E1
7.566913670E2,5.233411440E1,4.864218261E0,3.893810794E0,-1.000000000E0,-1.000000000E0,3.500241132E1,3.500241132E1
7.717414300E2,5.233411426E1,4.864218248E0,3.897712901E0,-1.000000000E0,-1.000000000E0,3.500265520E1,3.500265520E1
7.868367851E2,5.233411418E1,4.864218240E0,3.901169300E0,-1.000000000E0,-1.000000000E0,3.500290645E1,3.500290645E1
7.973800970E2,5.233411413E1,4.864218235E0,3.901169300E0,-1.000000000E0,-1.000000000E0,3.900594610E1,3.900594610E1
7.978233300E2,5.233441407E1,4.864227206E0,3.743564367E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.069713000E2,5.233441407E1,4.864227206E0,3.744811773E0,-1.000000000E0,-1.000000000E0,5.630444986E1,5.630444986E1
8.071632570E2,5.233421784E1,4.864221335E0,3.352918386E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
8.076410050E2,5.233447037E1,4.864229474E0,3.244606555E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.137127670E2,5.233416448E1,4.864219831E0,3.184177399E0,-1.000000000E0,-1.000000000E0,4.100000000E1,4.100000000E1
8.141927000E2,5.233432080E1,4.864283307E0,3.280821919E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.292870300E2,5.233437363E1,4.864303689E0,3.347188950E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.443653780E2,5.233439974E1,4.864312075E0,3.383802056E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.593659741E2,5.233441111E1,4.864315724E0,3.407006383E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.743668890E2,5.233441605E1,4.864317312E0,3.423027933E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
8.894173380E2,5.233441820E1,4.864318003E0,3.434754789E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.045012621E2,5.233441914E1,4.864318303E0,3.443709731E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.195158551E2,5.233441955E1,4.864318434E0,3.450771689E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.297417611E2,5.233441955E1,4.864318434E0,3.451977134E0,-1.000000000E0,-1.000000000E0,3.500006833E1,3.500006833E1
9.297499371E2,5.233441955E1,4.864318434E0,3.451977134E0,-1.000000000E0,-1.000000000E0,3.500006833E1,3.500006833E1
9.300141090E2,5.233441955E1,4.864318434E0,3.451977134E0,-1.000000000E0,-1.000000000E0,3.500006837E1,3.500006837E1
9.300161850E2,5.233441955E1,4.864318434E0,3.451977134E0,-1.000000000E0,-1.000000000E0,3.500006837E1,3.500006837E1
9.345651710E2,5.233441972E1,4.864318491E0,3.456483483E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.496605541E2,5.233441980E1,4.864318516E0,3.461198568E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.646703011E2,5.233441983E1,4.864318526E0,3.465156913E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.797175170E2,5.233441985E1,4.864318531E0,3.468527198E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
9.947902220E2,5.233441985E1,4.864318533E0,3.471431375E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.009803246E3,5.233441986E1,4.864318534E0,3.473959863E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.024826798E3,5.233441986E1,4.864318534E0,3.476181209E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.039868943E3,5.233441986E1,4.864318535E0,3.478148103E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.054930414E3,5.233441986E1,4.864318535E0,3.479901969E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.069940470E3,5.233441986E1,4.864318535E0,3.481475592E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.084941351E3,5.233441986E1,4.864318535E0,3.482895434E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.100034564E3,5.233441986E1,4.864318535E0,3.484182954E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.115049030E3,5.233429096E1,4.864276252E0,3.484289765E0,-1.000000000E0,-1.000000000E0,3.500022788E1,3.500022788E1
1.115487095E3,5.233452208E1,4.864193229E0,3.442302346E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.126536915E3,5.233452208E1,4.864193229E0,3.442638040E0,-1.000000000E0,-1.000000000E0,3.500012658E1,3.500012658E1
1.126543386E3,5.233452208E1,4.864193229E0,3.442638040E0,-1.000000000E0,-1.000000000E0,3.500012658E1,3.500012658E1
1.130493258E3,5.233457897E1,4.864172793E0,3.404041231E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.145584461E3,5.233459298E1,4.864167763E0,3.368907750E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.160680367E3,5.233459642E1,4.864166524E0,3.336533487E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.175755729E3,5.233459727E1,4.864166219E0,3.306605577E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.190757831E3,5.233459748E1,4.864166144E0,3.278856814E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.205799437E3,5.233459753E1,4.864166126E0,3.253057480E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.220874475E3,5.233459754E1,4.864166121E0,3.229009092E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.232698569E3,5.233459754E1,4.864166121E0,3.230267942E0,-1.000000000E0,-1.000000000E0,3.500009242E1,3.500009242E1
1.235893835E3,5.233459755E1,4.864166120E0,3.206539929E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.250919876E3,5.233459755E1,4.864166120E0,3.185498655E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.265975702E3,5.233459755E1,4.864166120E0,3.165753365E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.280993212E3,5.233459755E1,4.864166120E0,3.147187829E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.295999831E3,5.233459755E1,4.864166120E0,3.129699409E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.311067130E3,5.233459755E1,4.864166120E0,3.113196909E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.326090360E3,5.233459755E1,4.864166120E0,3.097599268E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.340015632E3,5.233459755E1,4.864166120E0,3.082834125E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.343241656E3,5.233459755E1,4.864166120E0,3.068837047E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.358292346E3,5.233459755E1,4.864166120E0,3.055549026E0,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
