"Time (s)","X (hPa)"
5.443927937E2,1.017272491E3
5.454611027E2,1.017273178E3
5.465294187E2,1.017277069E3
5.475976917E2,1.017278824E3
5.486659697E2,1.017278824E3
5.497342867E2,1.017278595E3
5.508026117E2,1.017278595E3
5.518708847E2,1.017282867E3
5.529391477E2,1.017287979E3
5.540074177E2,1.017299042E3
5.550757457E2,1.017314682E3
5.561441057E2,1.017317810E3
5.572124817E2,1.017321548E3
5.582808207E2,1.017322845E3
5.593491327E2,1.017326279E3
5.604174217E2,1.017328949E3
5.614857467E2,1.017328949E3
5.625540317E2,1.017329178E3
5.636222927E2,1.017332535E3
5.646905857E2,1.017333984E3
5.657588867E2,1.017334900E3
5.668272167E2,1.017334900E3
5.678955817E2,1.017334595E3
5.689638997E2,1.017333450E3
5.700321967E2,1.017332153E3
5.711005277E2,1.017331696E3
5.721688677E2,1.017324905E3
5.732371887E2,1.017316513E3
5.743055327E2,1.017316513E3
5.753739107E2,1.017317123E3
5.764423057E2,1.017317200E3
5.775106427E2,1.017326279E3
5.785789687E2,1.017337570E3
5.796472627E2,1.017340927E3
5.807155587E2,1.017342072E3
5.817839077E2,1.017342834E3
5.828522897E2,1.017344742E3
5.839205707E2,1.017346039E3
5.849888807E2,1.017349319E3
5.860571797E2,1.017352371E3
5.871254737E2,1.017352371E3
5.881938117E2,1.017352066E3
5.892621567E2,1.017351074E3
5.903305107E2,1.017349396E3
5.913989207E2,1.017347488E3
5.924672667E2,1.017347488E3
5.935356337E2,1.017348709E3
5.946039887E2,1.017348709E3
5.956723037E2,1.017348175E3
5.967406627E2,1.017347488E3
5.978089487E2,1.017347260E3
5.988772117E2,1.017347488E3
5.999455077E2,1.017348709E3
6.010138447E2,1.017349777E3
6.020821697E2,1.017350464E3
6.031504877E2,1.017350922E3
6.042187827E2,1.017350922E3
6.052870457E2,1.017352524E3
6.063553017E2,1.017353592E3
6.074235877E2,1.017355194E3
6.084918607E2,1.017355194E3
6.095601367E2,1.017355042E3
6.106284107E2,1.017351837E3
6.116966997E2,1.017349014E3
6.127649597E2,1.017347488E3
6.138332587E2,1.017347260E3
6.149015737E2,1.017340775E3
6.159698847E2,1.017332153E3
6.170381657E2,1.017327499E3
6.181064487E2,1.017322464E3
6.191747687E2,1.017322464E3
6.202430587E2,1.017323456E3
6.213113407E2,1.017327118E3
6.223796077E2,1.017327118E3
6.234478947E2,1.017326050E3
6.245161787E2,1.017315063E3
6.255844137E2,1.017308350E3
6.266527277E2,1.017302628E3
6.277210277E2,1.017297363E3
6.287893827E2,1.017293243E3
6.298576727E2,1.017289429E3
6.309259577E2,1.017284546E3
6.319942597E2,1.017279053E3
6.330625817E2,1.017267914E3
6.341309107E2,1.017255020E3
6.351992127E2,1.017243652E3
6.362674867E2,1.017239761E3
6.373357247E2,1.017228928E3
6.384039077E2,1.017228928E3
6.394720957E2,1.017232971E3
6.405403047E2,1.017239685E3
6.416085427E2,1.017240067E3
6.426767687E2,1.017239685E3
6.437449567E2,1.017238617E3
6.448131487E2,1.017227936E3
6.458813697E2,1.017217560E3
6.469495847E2,1.017209625E3
6.480177867E2,1.017209625E3
6.490860557E2,1.017211456E3
6.501542737E2,1.017218704E3
6.512225177E2,1.017235718E3
6.522907267E2,1.017254639E3
6.533589807E2,1.017269135E3
6.544272397E2,1.017282867E3
6.554955127E2,1.017297745E3
6.565638277E2,1.017310028E3
6.576321277E2,1.017310028E3
6.587004267E2,1.017302017E3
6.597686997E2,1.017292786E3
6.608370137E2,1.017286682E3
6.619052847E2,1.017277451E3
6.629735447E2,1.017277451E3
6.640418437E2,1.017280807E3
6.651101277E2,1.017281570E3
6.661784217E2,1.017281570E3
6.672467047E2,1.017280350E3
6.683149637E2,1.017277451E3
6.693832587E2,1.017277451E3
6.704515247E2,1.017281647E3
6.715197947E2,1.017281647E3
6.725881017E2,1.017273026E3
6.736564037E2,1.017265778E3
6.747247007E2,1.017258682E3
6.757929827E2,1.017254410E3
6.768612567E2,1.017254410E3
6.779295697E2,1.017258835E3
6.789978727E2,1.017268066E3
6.800661657E2,1.017275848E3
6.811344077E2,1.017279053E3
6.822026447E2,1.017279053E3
6.832708387E2,1.017274399E3
6.843390937E2,1.017267303E3
6.854073557E2,1.017258377E3
6.864756377E2,1.017255859E3
6.875438967E2,1.017250290E3
6.886121467E2,1.017249146E3
6.896804277E2,1.017249146E3
6.907486807E2,1.017253571E3
6.918169757E2,1.017257538E3
6.928852447E2,1.017266083E3
6.939534827E2,1.017277451E3
6.950217787E2,1.017288513E3
6.960900347E2,1.017297745E3
6.971582907E2,1.017307129E3
6.982264837E2,1.017316132E3
6.992947537E2,1.017326279E3
7.003629767E2,1.017336731E3
7.014312397E2,1.017344589E3
7.024994547E2,1.017351456E3
7.035676727E2,1.017351456E3
7.046358667E2,1.017350235E3
7.057041087E2,1.017343063E3
7.067722907E2,1.017338181E3
7.078404777E2,1.017333374E3
7.089086977E2,1.017330856E3
7.099769317E2,1.017328491E3
7.110450947E2,1.017324905E3
7.121132677E2,1.017322845E3
7.131814437E2,1.017321625E3
7.142496197E2,1.017321625E3
7.153178147E2,1.017324982E3
7.163859847E2,1.017328491E3
7.174541297E2,1.017331009E3
7.185223077E2,1.017331009E3
7.195904557E2,1.017326889E3
7.206586597E2,1.017319870E3
7.217268517E2,1.017305984E3
7.227950577E2,1.017291946E3
7.238633287E2,1.017279968E3
7.249315547E2,1.017273560E3
7.259997877E2,1.017273560E3
7.270680207E2,1.017275925E3
7.281362607E2,1.017285614E3
7.292045337E2,1.017299118E3
7.302728157E2,1.017311249E3
7.313410627E2,1.017322235E3
7.324093247E2,1.017332993E3
7.334775657E2,1.017339554E3
7.345458587E2,1.017340775E3
7.356141517E2,1.017340775E3
7.366824357E2,1.017334824E3
7.377507217E2,1.017327271E3
7.388189497E2,1.017322464E3
7.398872177E2,1.017317352E3
7.409554757E2,1.017316360E3
7.420237057E2,1.017316360E3
7.430919417E2,1.017318420E3
7.441601947E2,1.017318420E3
7.452284637E2,1.017318192E3
7.462967267E2,1.017318192E3
7.473649497E2,1.017322083E3
7.484332367E2,1.017324982E3
7.495014217E2,1.017328339E3
7.505696267E2,1.017333374E3
7.516378247E2,1.017339096E3
7.527060297E2,1.017340775E3
7.537742147E2,1.017341537E3
7.548424117E2,1.017341537E3
7.559106107E2,1.017339478E3
7.569787797E2,1.017337112E3
7.580469867E2,1.017330399E3
7.591152387E2,1.017320175E3
7.601835127E2,1.017309647E3
7.612517617E2,1.017295914E3
7.623200107E2,1.017282486E3
7.633882127E2,1.017270050E3
7.644564007E2,1.017266617E3
7.655246267E2,1.017266617E3
7.665928427E2,1.017273712E3
7.676610647E2,1.017280960E3
7.687292447E2,1.017285385E3
7.697974097E2,1.017286911E3
7.708656177E2,1.017286911E3
7.719338207E2,1.017284164E3
7.730019907E2,1.017284164E3
7.740702357E2,1.017284393E3
7.751385057E2,1.017285995E3
7.762067327E2,1.017287292E3
7.772749507E2,1.017289352E3
7.783431767E2,1.017292786E3
7.794113517E2,1.017296066E3
7.804795427E2,1.017300491E3
7.815477467E2,1.017306061E3
7.826159517E2,1.017309189E3
7.836841627E2,1.017310257E3
7.847523867E2,1.017310410E3
7.858205897E2,1.017310410E3
7.868887887E2,1.017305603E3
7.879569937E2,1.017300720E3
7.890252377E2,1.017297211E3
7.900934677E2,1.017294235E3
7.911617257E2,1.017292328E3
7.922299617E2,1.017292328E3
7.932981857E2,1.017293396E3
7.943664187E2,1.017299728E3
7.954346307E2,1.017309494E3
7.965028777E2,1.017319870E3
7.975711107E2,1.017329407E3
7.986393237E2,1.017337570E3
7.997075837E2,1.017341766E3
8.007758317E2,1.017341766E3
8.018441217E2,1.017333603E3
8.029123877E2,1.017325211E3
8.039806917E2,1.017317429E3
8.050489767E2,1.017307129E3
8.061172707E2,1.017294922E3
8.071855487E2,1.017290192E3
8.082538317E2,1.017289124E3
8.093221077E2,1.017286224E3
8.103903757E2,1.017286224E3
8.114587117E2,1.017287750E3
8.125270477E2,1.017292709E3
8.135953127E2,1.017297592E3
8.146635957E2,1.017301788E3
8.157318497E2,1.017301788E3
8.168001357E2,1.017301636E3
8.178684747E2,1.017300491E3
8.189367927E2,1.017293854E3
8.200050437E2,1.017287979E3
8.210733007E2,1.017282486E3
8.221415277E2,1.017279968E3
8.232097737E2,1.017278214E3
8.242780297E2,1.017277451E3
8.253463317E2,1.017277451E3
8.264146927E2,1.017277756E3
8.274830237E2,1.017278442E3
8.285513257E2,1.017280807E3
8.296195597E2,1.017284164E3
8.306877977E2,1.017287216E3
8.317560947E2,1.017289963E3
8.328243537E2,1.017290497E3
8.338926447E2,1.017290497E3
8.349609237E2,1.017287674E3
8.360291327E2,1.017283478E3
8.370973377E2,1.017279510E3
8.381655797E2,1.017279510E3
8.392338177E2,1.017279053E3
